numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCAZA10151		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10152		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10153		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10154		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado	ECUADOR: Manabí: Cabo Pasado. Mantenido en cautiverio, encontrado muerto 25 de Septiembre de 1996 Altitud: 19msnm - 	Georreferenciación	19	19	WGS 84	-0.368999	-80.48900		1996-08-03T00:00:00	1996-08-03T00:00:00					Xavier Cisneros	2012-09-21T00:00:00	0			
QCAZA10155		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	Eloy Alfaro	Desconocido	Comunidad Angostura, estero Las Tinajas	ECUADOR: Esmeraldas: Cantón Eloy Alfaro, comunidad Angostura, estero Las Tinajas. Mantenido en cautiverio, muerto 31 de Octubre de 1996 Altitud: 100msnm - 	Georreferenciación	100	100	Desconocido	0.8910000	-78.84199		1996-09-18T00:00:00	1996-09-18T00:00:00					Néstor Acosta		0			
QCAZA10157		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	machalilla		Ecuador	Manabí	Desconocido	Desconocido	Cabo Pasado, 17,5 km vía San Vicente - Pedernales 	ECUADOR: Manabí: Cabo Pasado, 17,5 Km Vía San Vicente-Pedernales.  Altitud: 50msnm - 	Georreferenciación	50	50	WGS 84	-0.368999	-80.48900		1996-08-15T00:00:00	1996-08-15T00:00:00					Néstor Acosta	2012-09-21T00:00:00	0			
QCAZA10173		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Ameerega	bilinguis		Ecuador	Sucumbíos	Desconocido	Desconocido	Río Aguarico, Paradise huts 	ECUADOR: Sucumbíos: Río Aguarico, Paradise huts.  Altitud: 220msnm - 	Georreferenciación	220	220	WGS 84	-0.255	-76.42600		1996-09-28T00:00:00	1996-09-28T00:00:00					Morley Read		0			
QCAZA102		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	sylvatica		Ecuador	Esmeraldas	Desconocido	Desconocido	La Boca	ECUADOR: Esmeraldas: La Boca.   	Georreferenciación			WGS 84	1.133	-78.77400		1985-06-01T00:00:00	1985-06-01T00:00:00					Giovanni Onore		0			
QCAZA10252		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	Desconocido	Desconocido	San Lorenzo, Reserva La Chiquita	ECUADOR: Esmeraldas: San Lorenzo. Reserva La Aiquita.   Información Ecológica: En hojarasca durante el día	Georreferenciación			WGS 84	1.233268	-78.75996		1996-01-12T00:00:00						Paola Buitrón	2000-10-30T00:00:00	0			
QCAZA10259		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	bocagei		Ecuador	Sucumbíos	Desconocido	Desconocido	Entre Andes de Cascabel y carretera 	ECUADOR: Sucumbíos: Entre Andes de Cascabel y carretera. Metamorfoseados en laboratorio, terrario 42, hoja 1  Información Ecológica: Renacuajos cpñectados en riachuelo 	Información insuficiente o imprecisa para georeferenciación			WGS 84				1996-12-22T00:00:00	1996-12-22T00:00:00					Andrés Vallejo	2010-12-03T00:00:00	0			
