numeroMuseo	numeroCampo	reino	filum	clase	orden	familia	genero	especie	continente	pais	provincia	canton	parroquia	localidad	localidadVerbatim	fuenteCoordenadas	altitudMax	altitudMin	datum	latitude	longitude	estadoDeterminacion	fechaInicioColeccion	fechaFinColeccion	fechaVerbatim	subespecie	variedad	forma	colector	fechaIdentificacion	tejidos	tipo	cita
QCAZA47898		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Santo Domingo de los Tsáchilas	Desconocido	Desconocido	La Unión del Toachi, Centro de Interpretación Ambiental Otongachi		Indeterminada			Desconocido	-0.325776	-78.94897		2009-09-03T00:00:00	2009-09-03T00:00:00					Nora Lisa Krutz		0			
QCAZA47899		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Santo Domingo de los Tsáchilas	Desconocido	Desconocido	La Unión del Toachi, Centro de Interpretación Ambiental Otongachi		Indeterminada			Desconocido	-0.325776	-78.94897		2009-09-03T00:00:00	2009-09-03T00:00:00					Nora Lisa Krutz		0			
QCAZA47900		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Santo Domingo de los Tsáchilas	Desconocido	Desconocido	La Unión del Toachi, Centro de Interpretación Ambiental Otongachi		Indeterminada			Desconocido	-0.325776	-78.94897		2009-09-03T00:00:00	2009-09-03T00:00:00					Nora Lisa Krutz		0			
QCAZA47901		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Santo Domingo de los Tsáchilas	Desconocido	Desconocido	La Unión del Toachi, Centro de Interpretación Ambiental Otongachi		Indeterminada			Desconocido	-0.325776	-78.94897		2009-09-03T00:00:00	2009-09-03T00:00:00					Nora Lisa Krutz		0			
QCAZA47902		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Santo Domingo de los Tsáchilas	Desconocido	Desconocido	La Unión del Toachi, Centro de Interpretación Ambiental Otongachi		Indeterminada			Desconocido	-0.325776	-78.94897		2009-09-03T00:00:00	2009-09-03T00:00:00					Nora Lisa Krutz		0			
QCAZA47903		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-28T00:00:00	2008-11-28T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47904		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-28T00:00:00	2008-11-28T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47905		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47906		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47907		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47908		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	Indeterminado		Ecuador	El Oro	Desconocido	Desconocido	Moromoro		Georreferenciación			WGS 84	-3.683320	-79.74191	sp.	2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47910		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Latacunga	Desconocido	Camino Latacunga - La Maná		Georreferenciación	895	895	WGS 84	-0.877444	-79.08499		2009-04-28T00:00:00	2009-04-28T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47912		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	tricolor		Ecuador	Bolívar	Chillanes	San José del Tambo	San José del Tambo		Georreferenciación			WGS 84	-1.952763	-79.23643		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47913		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47914		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47915		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47916		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47917		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47918		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47919		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47920		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47921		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47922		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47923		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47927	SC30161	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	tricolor		Ecuador	Cotopaxi	Desconocido	Moraspungo	Camino Moraspungo - El Corazón		Georreferenciación	1500	1500	WGS 84	-1.148169	-79.15158		2009-04-28T00:00:00	2009-04-28T00:00:00					Jan Verkade	2018-03-27T00:00:00	0			
QCAZA47928	SC30154	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	tricolor		Ecuador	Cotopaxi	Desconocido	Moraspungo	Camino Moraspungo - El Corazón		Georreferenciación	1500	1500	WGS 84	-1.148169	-79.15158		2009-04-28T00:00:00	2009-04-28T00:00:00					Jan Verkade	2018-03-27T00:00:00	0			
QCAZA47929	SC30155	Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	tricolor		Ecuador	Cotopaxi	Desconocido	Moraspungo	Camino Moraspungo - El Corazón		Georreferenciación	1500	1500	WGS 84	-1.148169	-79.15158		2009-04-28T00:00:00	2009-04-28T00:00:00					Jan Verkade	2018-03-27T00:00:00	0			
QCAZA47931		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47932		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	San Lorenzo	Desconocido	Durango		GPS			Desconocido	1.0427299	-78.62449		2009-11-23T00:00:00	2009-11-23T00:00:00					Samael Padilla		0			
QCAZA47933		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-28T00:00:00	2008-11-28T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47934		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47935		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47936		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	elachyhistus		Ecuador	El Oro	Desconocido	Desconocido	Road to Moromoro		Indeterminada			Desconocido	-3.664439	-79.73952		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47939		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47940		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47941		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47942		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47943		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	elachyhistus		Ecuador	El Oro	Desconocido	Desconocido	Road to Moromoro		Indeterminada			Desconocido	-3.664439	-79.73952		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		1			
QCAZA47944		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	elachyhistus		Ecuador	El Oro	Desconocido	Desconocido	Road to Moromoro		Indeterminada			Desconocido	-3.664439	-79.73952		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		1			
QCAZA47945		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47946		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47947		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47948		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47949		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	Indeterminado		Ecuador	El Oro	Desconocido	Desconocido	Moromoro		Georreferenciación			WGS 84	-3.683320	-79.74191	sp.	2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47950		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	Indeterminado		Ecuador	El Oro	Desconocido	Desconocido	Moromoro		Georreferenciación			WGS 84	-3.683320	-79.74191	sp.	2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47951		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	Indeterminado		Ecuador	El Oro	Desconocido	Desconocido	Moromoro		Georreferenciación			WGS 84	-3.683320	-79.74191	sp.	2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47952		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	Indeterminado		Ecuador	El Oro	Desconocido	Desconocido	Moromoro		Georreferenciación			WGS 84	-3.683320	-79.74191	sp.	2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade	2010-05-04T00:00:00	0			
QCAZA47953		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47954		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47955		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	tricolor		Ecuador	Bolívar	Chillanes	San José del Tambo	San José del Tambo		Georreferenciación			WGS 84	-1.952763	-79.23643		2008-11-28T00:00:00	2008-11-28T00:00:00					Jan Verkade		0			
QCAZA47958		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47959		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-28T00:00:00	2008-11-28T00:00:00					Jan Verkade	2010-05-04T00:00:00	1			
QCAZA47960		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47961		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47962		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47963		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47964		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47965		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47966		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47967		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	infraguttatus		Ecuador	Guayas	Desconocido	Desconocido	Carretera Bucay-Chillanes cerca del río Limón		Georreferenciación	611	611	WGS 84	-2.149527	-79.12574000000001		2009-04-24T00:00:00	2009-04-24T00:00:00					Jan Verkade	2010-05-05T00:00:00	1			
QCAZA47968		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	San Lorenzo	Desconocido	Durango		GPS			Desconocido	1.0427299	-78.62449		2009-11-23T00:00:00	2009-11-23T00:00:00					Samael Padilla		0			
QCAZA47969		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Epipedobates	boulengeri		Ecuador	Esmeraldas	San Lorenzo	Desconocido	Durango		GPS			Desconocido	1.0427299	-78.62449		2009-11-23T00:00:00	2009-11-23T00:00:00					Samael Padilla		0			
QCAZA47970		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47971		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47972		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47973		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47974		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47975		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	infraguttatus		Ecuador	Guayas	Desconocido	Desconocido	Carretera Bucay-Chillanes cerca del río Limón		Georreferenciación	611	611	WGS 84	-2.149527	-79.12574000000001		2009-04-24T00:00:00	2009-04-24T00:00:00					Jan Verkade	2010-05-05T00:00:00	1			
QCAZA47976		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47977		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47978		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47979		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47980		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47981		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47982		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47984		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47985		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47986		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47987		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47991		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47992		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47993		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47994		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47995		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47996		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47997		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47998		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA47999		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA48000		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA48001		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA48002		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA48003		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA48004		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
QCAZA48005		Animal	Chordata	Amphibia	Anura	Dendrobatidae	Hyloxalus	awa		Ecuador	Cotopaxi	Desconocido	Desconocido	La Maná		Indeterminada			Desconocido	-0.941470	-79.21584		2008-11-29T00:00:00	2008-11-29T00:00:00					Jan Verkade		0			
