spid,x,y,bio01,bio02,bio03,bio04,bio07,bio12,bio13,bio14,bio15,bio18,bio19,slope,aspect,hillshade,tri,watdist,landcover
anthonyi,-80.37942562,-4.170236028,235,121,82,1042,146,701,228,0,119,492,4,4,203,185,-91,18.02775638,10
anthonyi,-79.88420677,-4.20946274,240,125,86,535,144,951,286,3,119,380,25,4,4,179,1025,2,30
anthonyi,-80.25858398,-4.264639657,244,124,81,1132,152,632,248,0,140,451,2,2,236,184,30,10.19803903,10
anthonyi,-79.81531812,-4.285646482,195,128,88,185,144,1136,258,3,98,45,655,12,112,146,-1296,12.80624847,20
anthonyi,-80.26622688,-4.290310701,245,124,80,1216,155,576,242,0,145,421,1,2,15,179,102,9.219544457,10
anthonyi,-80.2362305,-4.290310701,247,123,79,1218,155,563,245,0,152,420,1,1,199,181,43,7.211102551,30
anthonyi,-79.66575541,-4.31660602,166,121,89,180,135,1385,262,8,86,79,744,8,131,162,-433,29.54657341,30
anthonyi,-79.73539765,-3.208532786,246,85,73,968,115,984,190,27,68,483,100,10,280,212,1704,12.16552506,10
anthonyi,-79.67048206,-3.319889916,247,88,75,926,116,944,173,27,66,456,101,7,359,181,692,5.099019514,10
anthonyi,-80.01544703,-3.369443906,252,79,68,1273,115,461,111,8,97,287,33,0,270,181,-29,0,80
anthonyi,-79.57637273,-3.381608334,211,112,86,432,129,1047,185,5,82,34,526,9,112,153,109,8.485281374,30
anthonyi,-79.91280299,-3.54293861,247,99,79,826,124,869,213,10,94,500,43,3,285,191,400,9.433981132,10
anthonyi,-79.64104307,-3.602565709,218,113,87,333,129,1537,274,8,83,85,802,13,177,178,345,27.01851217,10
anthonyi,-79.63565202,-3.61704887,216,114,87,363,130,1622,304,9,82,96,832,16,287,229,-412,26.01922366,10
anthonyi,-79.67807591,-3.628678205,215,114,87,306,131,1692,329,8,83,48,877,12,85,143,-163,28.60069929,10
anthonyi,-79.67022789,-3.672685073,210,116,87,332,132,1624,327,6,84,95,834,12,175,177,-1091,25.45584412,30
anthonyi,-79.62728675,-3.67528027,226,113,88,291,127,1471,281,7,87,117,800,15,275,227,595,25.96150997,10
anthonyi,-79.6612205,-3.728811778,231,113,88,295,127,1324,278,7,91,97,117,11,256,213,50,22.47220505,10
anthonyi,-79.93099166,-3.734002172,236,111,91,283,121,1293,268,7,93,773,55,3,105,171,532,10.19803903,10
anthonyi,-79.9087675,-3.780697878,238,112,91,334,123,1279,269,7,94,774,54,3,201,183,277,5.099019514,30
anthonyi,-79.62280535,-3.784960779,236,112,90,280,124,1311,262,10,86,205,56,2,35,177,743,23.53720459,10
anthonyi,-80.07972052,-3.883333007,245,115,85,614,134,1103,252,1,107,721,12,4,78,167,396,1,10
anthonyi,-80.02494046,-3.91179099,244,116,87,560,132,1153,267,2,106,757,14,11,71,148,1360,5,10
anthonyi,-80.40593497,-4.119179321,236,120,82,1068,145,714,222,0,114,451,5,3,165,178,163,14.31782106,10
anthonyi,-79.90299742,-4.266347492,227,126,90,341,140,1141,298,3,109,487,32,11,296,210,858,6,10
anthonyi,-79.40077779,-4.297008271,190,128,90,210,142,1153,215,7,75,265,141,7,198,187,383,33.24154028,30
anthonyi,-80.24253121,-4.386364197,249,123,76,1408,160,398,216,0,177,319,1,0,288,182,119,3.605551275,60
anthonyi,-79.74236277,-3.08757967,252,83,72,1064,114,873,168,26,71,435,102,1,317,182,106,7.615773106,10
anthonyi,-79.88572732,-3.133075878,252,77,68,1251,112,635,135,16,83,349,61,0,315,181,22,0,80
anthonyi,-79.14427246,-3.157360142,167,111,89,255,124,715,129,11,65,155,44,2,187,181,784,7.211102551,50
anthonyi,-79.84783834,-3.224014785,251,77,68,1275,112,652,133,18,77,347,67,0,76,180,2,4.472135955,10
anthonyi,-79.54273327,-3.274589909,200,112,86,454,129,725,146,2,90,17,393,10,124,154,189,1,30
anthonyi,-79.24091456,-3.2947718,202,113,88,454,128,555,101,12,62,48,226,10,135,157,235,4.123105626,30
anthonyi,-79.52938272,-3.30236119,230,103,92,229,111,1085,181,13,62,399,89,9,143,163,564,1.414213562,10
anthonyi,-79.29719287,-3.344865341,204,114,88,536,129,506,95,7,70,33,223,19,286,238,-495,6.08276253,30
anthonyi,-79.73480459,-3.417637871,239,98,84,545,116,1027,187,18,71,504,79,10,263,211,1100,11.04536102,10
anthonyi,-79.88329711,-3.527032997,249,96,76,934,125,796,190,12,91,455,45,3,24,176,121,11.40175425,10
anthonyi,-79.78731496,-3.529182283,229,108,91,193,118,1224,238,8,84,511,50,12,305,211,469,21.09502311,10
anthonyi,-79.76154582,-3.583338066,210,114,87,320,131,1704,351,7,86,43,899,13,299,216,471,21.58703314,10
anthonyi,-79.79868567,-3.613838317,239,106,89,352,118,1186,234,12,84,650,70,4,210,186,996,17.02938637,10
anthonyi,-79.48509939,-3.792238032,220,116,87,293,132,1180,210,7,77,96,571,11,208,196,-133,21.9317122,10
anthonyi,-80.07800376,-3.950999866,225,119,90,294,132,1701,354,5,98,1032,70,5,287,196,-886,7.280109889,30
anthonyi,-79.97408887,-4.213574031,220,126,90,279,140,1261,298,4,102,804,117,11,88,145,-1091,8,10
anthonyi,-79.99411915,-4.214519361,227,126,90,353,139,1173,308,3,111,760,37,16,193,191,-92,10,30
anthonyi,-79.80395187,-4.24051592,228,125,89,294,140,1166,284,4,104,502,102,14,214,204,744,11.40175425,10
anthonyi,-79.88591907,-4.331918573,206,129,90,144,143,1077,256,3,103,31,88,20,158,157,1307,13.15294644,10
anthonyi,-79.96813151,-4.342482184,234,128,87,572,146,835,273,2,126,582,20,10,289,210,86,16.55294536,10
anthonyi,-79.88038086,-4.347891073,219,128,90,263,142,1047,265,4,106,646,26,15,190,188,-974,15.29705854,10
anthonyi,-79.88270851,-4.359342045,229,128,89,419,143,998,288,3,116,659,26,14,140,153,-118,17.2626765,10
anthonyi,-79.92465528,-4.36675753,233,128,87,546,146,904,283,2,122,618,23,12,254,215,532,17.11724277,10
anthonyi,-79.71492146,-3.087321042,234,95,83,550,114,1047,192,15,73,416,74,16,223,215,914,10.44030651,10
anthonyi,-79.67722422,-3.223921143,202,110,86,352,127,921,181,2,92,19,509,17,163,165,-988,10.77032961,10
anthonyi,-79.73799285,-3.305442429,246,86,74,1027,115,903,172,25,68,442,94,4,233,189,120,2.236067977,10
anthonyi,-79.59868607,-3.305714434,224,106,90,196,117,1081,187,8,69,416,462,11,220,202,-1538,2.828427125,10
anthonyi,-79.77916819,-3.307560502,249,81,69,1249,116,783,148,25,66,382,91,1,233,182,24,3.605551275,10
anthonyi,-79.47057164,-3.308755541,222,108,90,243,120,1038,168,9,66,150,425,12,153,163,1351,1,80
anthonyi,-79.58074265,-3.31426699,236,99,86,442,114,1001,180,17,65,388,80,15,187,186,446,4.123105626,10
anthonyi,-79.82943117,-3.40990133,250,85,72,1151,118,708,145,18,76,377,71,1,354,181,145,10.44030651,10
anthonyi,-79.56514025,-3.458741864,162,105,90,170,116,836,172,5,86,80,463,10,42,160,-110,15.65247584,30
anthonyi,-79.79997435,-3.485264597,221,110,89,153,123,1298,248,6,86,96,703,5,64,167,-981,18.02775638,10
anthonyi,-79.75858498,-3.497527125,233,105,91,285,115,1157,218,11,79,478,66,9,77,152,-31,20.09975124,10
anthonyi,-79.62502598,-3.63187984,214,114,87,366,131,1643,319,8,82,50,834,13,232,212,-75,25.17935662,10
anthonyi,-79.79250536,-3.631897676,238,107,90,334,118,1214,239,11,84,527,67,12,151,162,-44,18.02775638,10
anthonyi,-79.54379454,-3.641926194,224,112,88,317,127,1543,272,9,80,147,785,7,276,202,969,16.4924225,30
anthonyi,-79.73091625,-3.646425427,223,113,88,250,128,1442,279,7,89,60,809,12,195,190,32,23.70653918,10
anthonyi,-79.6092586,-3.652347114,211,115,87,382,132,1492,290,7,82,45,753,1,344,181,-1034,23.53720459,30
anthonyi,-80.10645283,-3.671061961,255,107,79,992,135,616,162,3,109,393,14,0,281,181,57,7.211102551,10
anthonyi,-79.79145301,-3.687801426,221,114,88,240,129,1568,294,6,90,102,877,6,314,193,-1088,16.76305461,10
anthonyi,-79.69927447,-3.734523887,222,115,87,266,131,1582,300,6,89,116,868,12,122,149,-537,18.60107524,30
anthonyi,-80.36510298,-3.832610733,229,114,85,687,133,714,189,1,111,477,6,7,357,182,-534,9.055385138,10
anthonyi,-80.02387028,-3.894708174,245,115,87,590,132,1118,258,2,105,730,15,5,41,171,1028,3,10
anthonyi,-80.26079569,-3.927874968,234,117,86,686,135,923,236,1,108,606,9,15,130,144,-389,3.605551275,10
anthonyi,-80.23475008,-3.944266623,245,116,82,870,140,931,228,0,102,590,10,3,187,181,258,1,10
anthonyi,-80.29394019,-3.945171821,232,117,87,639,134,903,235,1,108,597,8,2,332,183,331,5.385164807,10
anthonyi,-80.13350619,-3.984474337,216,121,89,249,135,1634,336,4,96,962,55,8,23,171,-580,7.615773106,10
